Totale travel distance: 100089
Games umpired door umpire1
	10,7	10,8	10,3	10,6	15,3	11,1	14,5	16,5	7,2	6,3	6,1	4,3	4,1	13,14	15,16	12,16	8,9	8,11	8,12	9,13	13,16	1,8	5,12	5,4	5,10	5,16	3,12	3,16	2,13	2,14	

Games umpired door umpire2
	11,6	11,7	11,8	11,3	11,4	14,13	15,6	9,1	12,13	16,12	16,11	16,9	13,10	4,2	8,7	7,8	10,11	10,12	2,16	7,10	6,12	6,10	6,14	7,16	7,14	3,14	1,13	1,14	1,15	5,13	

Games umpired door umpire3
	13,4	13,5	13,6	13,1	13,2	7,4	16,4	14,6	14,10	4,5	10,4	15,14	15,11	12,10	2,1	3,4	6,7	6,9	6,11	5,8	8,14	4,14	4,16	1,10	1,11	1,12	11,15	9,15	9,12	9,11	

Games umpired door umpire4
	14,3	14,4	14,1	15,8	10,5	6,5	13,8	13,3	16,6	7,1	7,3	5,1	8,5	8,6	6,4	5,6	4,15	3,5	3,9	3,15	4,11	3,11	3,13	9,14	12,15	2,11	2,6	2,8	11,14	1,16	

Games umpired door umpire5
	15,2	15,1	15,5	12,4	12,1	12,2	12,3	12,11	9,3	14,9	14,8	11,10	16,14	16,15	13,12	1,2	2,5	2,7	10,14	11,16	5,9	5,15	8,15	8,13	6,16	6,8	4,8	7,12	3,10	3,7	

Games umpired door umpire6
	16,1	16,3	16,2	16,7	16,8	8,3	10,1	10,2	15,4	15,10	15,12	12,8	12,9	11,9	14,11	13,11	1,3	1,4	4,7	2,4	2,3	9,16	1,9	11,12	3,8	7,15	7,9	5,11	5,7	6,15	

Games umpired door umpire7
	12,5	12,6	12,7	14,2	14,7	16,10	11,2	8,4	8,1	8,2	5,2	6,2	3,2	3,1	10,9	9,10	14,12	15,13	13,15	1,6	1,7	7,13	7,11	2,15	2,9	10,13	10,16	4,10	4,6	4,12	

Games umpired door umpire8
	9,8	9,2	9,4	9,5	9,6	15,9	9,7	15,7	11,5	11,13	13,9	13,7	7,6	7,5	5,3	14,15	16,13	14,16	1,5	12,14	10,15	2,12	2,10	3,6	4,13	4,9	5,14	6,13	8,16	8,10	

Solution Status from LocalSolver: Feasible

Solution [travelDistance=100089, homeVisitViolations=0, consecutiveHomeVisitViolations=0, consecutiveTeamSeenViolations=0]
-1--2--3--4--5--6--7--8-
 [10, 7]  [11, 6]  [13, 4]  [14, 3]  [15, 2]  [16, 1]  [12, 5]  [9, 8] 
 [10, 8]  [11, 7]  [13, 5]  [14, 4]  [15, 1]  [16, 3]  [12, 6]  [9, 2] 
 [10, 3]  [11, 8]  [13, 6]  [14, 1]  [15, 5]  [16, 2]  [12, 7]  [9, 4] 
 [10, 6]  [11, 3]  [13, 1]  [15, 8]  [12, 4]  [16, 7]  [14, 2]  [9, 5] 
 [15, 3]  [11, 4]  [13, 2]  [10, 5]  [12, 1]  [16, 8]  [14, 7]  [9, 6] 
 [11, 1]  [14, 13]  [7, 4]  [6, 5]  [12, 2]  [8, 3]  [16, 10]  [15, 9] 
 [14, 5]  [15, 6]  [16, 4]  [13, 8]  [12, 3]  [10, 1]  [11, 2]  [9, 7] 
 [16, 5]  [9, 1]  [14, 6]  [13, 3]  [12, 11]  [10, 2]  [8, 4]  [15, 7] 
 [7, 2]  [12, 13]  [14, 10]  [16, 6]  [9, 3]  [15, 4]  [8, 1]  [11, 5] 
 [6, 3]  [16, 12]  [4, 5]  [7, 1]  [14, 9]  [15, 10]  [8, 2]  [11, 13] 
 [6, 1]  [16, 11]  [10, 4]  [7, 3]  [14, 8]  [15, 12]  [5, 2]  [13, 9] 
 [4, 3]  [16, 9]  [15, 14]  [5, 1]  [11, 10]  [12, 8]  [6, 2]  [13, 7] 
 [4, 1]  [13, 10]  [15, 11]  [8, 5]  [16, 14]  [12, 9]  [3, 2]  [7, 6] 
 [13, 14]  [4, 2]  [12, 10]  [8, 6]  [16, 15]  [11, 9]  [3, 1]  [7, 5] 
 [15, 16]  [8, 7]  [2, 1]  [6, 4]  [13, 12]  [14, 11]  [10, 9]  [5, 3] 
 [12, 16]  [7, 8]  [3, 4]  [5, 6]  [1, 2]  [13, 11]  [9, 10]  [14, 15] 
 [8, 9]  [10, 11]  [6, 7]  [4, 15]  [2, 5]  [1, 3]  [14, 12]  [16, 13] 
 [8, 11]  [10, 12]  [6, 9]  [3, 5]  [2, 7]  [1, 4]  [15, 13]  [14, 16] 
 [8, 12]  [2, 16]  [6, 11]  [3, 9]  [10, 14]  [4, 7]  [13, 15]  [1, 5] 
 [9, 13]  [7, 10]  [5, 8]  [3, 15]  [11, 16]  [2, 4]  [1, 6]  [12, 14] 
 [13, 16]  [6, 12]  [8, 14]  [4, 11]  [5, 9]  [2, 3]  [1, 7]  [10, 15] 
 [1, 8]  [6, 10]  [4, 14]  [3, 11]  [5, 15]  [9, 16]  [7, 13]  [2, 12] 
