Totale travel distance: 348943
Games umpired door umpire1
	17,4	20,3	13,10	12,5	18,9	8,5	15,2	19,6	14,4	11,1	17,8	20,15	10,3	6,2	13,11	16,8	15,18	12,7	19,17	14,13	4,5	18,15	7,8	3,16	1,7	6,10	2,19	9,15	3,12	14,20	4,10	11,19	2,18	1,16	7,20	8,17	5,10	9,19	

Games umpired door umpire2
	13,8	15,7	12,3	18,2	16,1	10,14	9,3	20,12	17,11	19,7	13,6	7,4	8,1	15,16	14,12	18,17	9,5	10,8	5,4	1,2	13,16	17,19	3,6	4,18	2,5	7,13	12,20	16,17	6,18	5,9	1,13	8,20	3,14	4,15	9,18	2,13	11,16	6,17	

Games umpired door umpire3
	16,5	18,4	17,6	11,6	12,8	15,1	20,5	14,2	19,10	6,4	16,15	9,1	17,14	13,12	18,10	3,4	8,6	20,19	2,1	7,9	14,17	11,13	9,10	1,6	4,8	12,19	16,14	8,13	10,20	2,7	5,19	7,16	6,8	9,17	2,12	4,11	1,19	8,10	

Games umpired door umpire4
	15,6	12,10	14,9	17,1	13,5	16,2	19,4	9,8	20,6	18,5	10,1	17,16	12,4	20,8	15,9	5,1	13,7	11,9	6,3	19,20	10,12	1,4	14,15	2,11	17,18	5,20	8,11	7,19	2,15	6,16	12,17	3,9	10,19	11,14	4,16	5,15	9,12	1,20	

Games umpired door umpire5
	20,1	11,2	19,5	16,9	15,4	17,3	8,7	18,11	12,1	13,3	20,4	10,2	7,5	19,18	6,1	15,11	17,10	4,2	12,11	8,18	1,3	9,6	2,4	14,19	13,20	16,18	7,17	4,12	5,17	3,8	6,14	10,18	1,15	2,10	3,11	9,20	7,18	4,14	

Games umpired door umpire6
	11,10	14,8	16,7	13,4	17,2	19,11	18,6	15,3	9,7	20,14	12,2	11,5	19,15	17,9	7,3	10,6	20,11	15,14	8,9	4,3	18,19	16,20	12,13	5,8	3,10	11,15	1,9	14,18	8,16	4,19	7,15	6,15	13,17	12,18	5,14	10,16	2,20	3,13	

Games umpired door umpire7
	19,2	17,5	18,1	20,7	14,6	9,4	10,11	13,1	15,5	12,16	19,9	8,3	18,13	14,11	5,2	20,9	16,12	3,1	10,7	5,6	15,20	8,12	11,17	7,10	6,9	2,14	13,18	3,20	1,11	10,17	9,16	5,12	4,20	3,7	8,15	1,18	6,13	2,16	

Games umpired door umpire8
	14,7	13,9	11,4	19,8	20,10	7,6	16,13	16,4	18,8	17,15	14,5	12,6	9,2	10,4	19,16	13,14	4,1	6,5	20,18	15,17	2,9	14,10	1,5	12,15	16,11	3,17	4,6	1,10	9,14	11,18	2,8	4,13	7,12	6,20	1,17	3,19	8,14	5,18	

Games umpired door umpire9
	12,9	16,6	20,2	15,10	19,3	18,12	14,1	17,7	13,2	10,9	11,3	18,14	20,16	7,1	8,4	19,12	3,2	17,13	14,16	16,10	11,8	5,7	18,20	9,13	15,19	1,8	3,5	2,6	4,7	13,15	11,20	1,14	5,16	8,19	10,13	6,12	3,15	7,11	

Games umpired door umpire10
	18,3	19,1	15,8	14,3	11,7	20,13	17,12	10,5	16,3	8,2	18,7	19,13	6,11	5,3	20,17	7,2	19,14	18,16	15,13	11,12	6,7	2,3	16,19	17,20	12,14	4,9	10,15	5,11	13,19	1,12	3,18	2,17	9,11	5,13	6,19	7,14	4,17	15,12	

Solution Status from LocalSolver: Infeasible

Solution [travelDistance=348943, homeVisitViolations=0, consecutiveHomeVisitViolations=96, consecutiveTeamSeenViolations=54]
-1--2--3--4--5--6--7--8--9--10-
 [17, 4]  [13, 8]  [16, 5]  [15, 6]  [20, 1]  [11, 10]  [19, 2]  [14, 7]  [12, 9]  [18, 3] 
 [20, 3]  [15, 7]  [18, 4]  [12, 10]  [11, 2]  [14, 8]  [17, 5]  [13, 9]  [16, 6]  [19, 1] 
 [13, 10]  [12, 3]  [17, 6]  [14, 9]  [19, 5]  [16, 7]  [18, 1]  [11, 4]  [20, 2]  [15, 8] 
 [12, 5]  [18, 2]  [11, 6]  [17, 1]  [16, 9]  [13, 4]  [20, 7]  [19, 8]  [15, 10]  [14, 3] 
 [18, 9]  [16, 1]  [12, 8]  [13, 5]  [15, 4]  [17, 2]  [14, 6]  [20, 10]  [19, 3]  [11, 7] 
 [8, 5]  [10, 14]  [15, 1]  [16, 2]  [17, 3]  [19, 11]  [9, 4]  [7, 6]  [18, 12]  [20, 13] 
 [15, 2]  [9, 3]  [20, 5]  [19, 4]  [8, 7]  [18, 6]  [10, 11]  [16, 13]  [14, 1]  [17, 12] 
 [19, 6]  [20, 12]  [14, 2]  [9, 8]  [18, 11]  [15, 3]  [13, 1]  [16, 4]  [17, 7]  [10, 5] 
 [14, 4]  [17, 11]  [19, 10]  [20, 6]  [12, 1]  [9, 7]  [15, 5]  [18, 8]  [13, 2]  [16, 3] 
 [11, 1]  [19, 7]  [6, 4]  [18, 5]  [13, 3]  [20, 14]  [12, 16]  [17, 15]  [10, 9]  [8, 2] 
 [17, 8]  [13, 6]  [16, 15]  [10, 1]  [20, 4]  [12, 2]  [19, 9]  [14, 5]  [11, 3]  [18, 7] 
 [20, 15]  [7, 4]  [9, 1]  [17, 16]  [10, 2]  [11, 5]  [8, 3]  [12, 6]  [18, 14]  [19, 13] 
 [10, 3]  [8, 1]  [17, 14]  [12, 4]  [7, 5]  [19, 15]  [18, 13]  [9, 2]  [20, 16]  [6, 11] 
 [6, 2]  [15, 16]  [13, 12]  [20, 8]  [19, 18]  [17, 9]  [14, 11]  [10, 4]  [7, 1]  [5, 3] 
 [13, 11]  [14, 12]  [18, 10]  [15, 9]  [6, 1]  [7, 3]  [5, 2]  [19, 16]  [8, 4]  [20, 17] 
 [16, 8]  [18, 17]  [3, 4]  [5, 1]  [15, 11]  [10, 6]  [20, 9]  [13, 14]  [19, 12]  [7, 2] 
 [15, 18]  [9, 5]  [8, 6]  [13, 7]  [17, 10]  [20, 11]  [16, 12]  [4, 1]  [3, 2]  [19, 14] 
 [12, 7]  [10, 8]  [20, 19]  [11, 9]  [4, 2]  [15, 14]  [3, 1]  [6, 5]  [17, 13]  [18, 16] 
 [19, 17]  [5, 4]  [2, 1]  [6, 3]  [12, 11]  [8, 9]  [10, 7]  [20, 18]  [14, 16]  [15, 13] 
 [14, 13]  [1, 2]  [7, 9]  [19, 20]  [8, 18]  [4, 3]  [5, 6]  [15, 17]  [16, 10]  [11, 12] 
 [4, 5]  [13, 16]  [14, 17]  [10, 12]  [1, 3]  [18, 19]  [15, 20]  [2, 9]  [11, 8]  [6, 7] 
 [18, 15]  [17, 19]  [11, 13]  [1, 4]  [9, 6]  [16, 20]  [8, 12]  [14, 10]  [5, 7]  [2, 3] 
 [7, 8]  [3, 6]  [9, 10]  [14, 15]  [2, 4]  [12, 13]  [11, 17]  [1, 5]  [18, 20]  [16, 19] 
 [3, 16]  [4, 18]  [1, 6]  [2, 11]  [14, 19]  [5, 8]  [7, 10]  [12, 15]  [9, 13]  [17, 20] 
 [1, 7]  [2, 5]  [4, 8]  [17, 18]  [13, 20]  [3, 10]  [6, 9]  [16, 11]  [15, 19]  [12, 14] 
 [6, 10]  [7, 13]  [12, 19]  [5, 20]  [16, 18]  [11, 15]  [2, 14]  [3, 17]  [1, 8]  [4, 9] 
 [2, 19]  [12, 20]  [16, 14]  [8, 11]  [7, 17]  [1, 9]  [13, 18]  [4, 6]  [3, 5]  [10, 15] 
 [9, 15]  [16, 17]  [8, 13]  [7, 19]  [4, 12]  [14, 18]  [3, 20]  [1, 10]  [2, 6]  [5, 11] 
 [3, 12]  [6, 18]  [10, 20]  [2, 15]  [5, 17]  [8, 16]  [1, 11]  [9, 14]  [4, 7]  [13, 19] 
 [14, 20]  [5, 9]  [2, 7]  [6, 16]  [3, 8]  [4, 19]  [10, 17]  [11, 18]  [13, 15]  [1, 12] 
 [4, 10]  [1, 13]  [5, 19]  [12, 17]  [6, 14]  [7, 15]  [9, 16]  [2, 8]  [11, 20]  [3, 18] 
 [11, 19]  [8, 20]  [7, 16]  [3, 9]  [10, 18]  [6, 15]  [5, 12]  [4, 13]  [1, 14]  [2, 17] 
 [2, 18]  [3, 14]  [6, 8]  [10, 19]  [1, 15]  [13, 17]  [4, 20]  [7, 12]  [5, 16]  [9, 11] 
